afinius_n	4
afraniani_n	???
afranius_n	*
africana_n	f
africani_n	*
africanus_n	*
africa_n	f
africus_n	*
afri_n	3
agaga	f
agamemnonides_n	m
agamemnon_n	???
agaso	m
agathinus_n	4
agathocles_n	m
agatho_n	m
agathyrsi_n	*
agedincum_n	n
agellus	*
agenor_n	m
agens_1	m
ager	m
agermus_n	4
ager_n	m
agesilaus_n	m
aggar_n	2
agger	m
aggestus	m
agilitas	f
agis_n	m
agitatio	f
agitator	m
agmen	n
agna	f
agnalia_n	n
agnatus	m
agnellus	*
agnina	f
agnus	m
agon	m
agonia	n
agonia_n	n
agonis_n	f
agoranomus	m
agrarii	m
agrestis_1	*
agrestis_n	*
agrianes_n	m
agriani_n	3
agricola	m
agricola_n	m
agricultor	???
agricultura	f
agrigentini_n	*
agrigentum_n	n
agrippa_n	m
agrippina_n	f
agrippinenses_n	m
agrippinus_n	*
agrius_n	*
agyllini_n	???
agyrinenses_n	2
agyrium_n	n
ahala_n	m
ahenobarbus_n	m
aiax_n	m
ala	f
alabanda_n	n
alabaster	???
alacritas	f
alani_n	*
alapa	f
alarii	m
alaudae_n	f
albana_n	f
albani_n	*
albanum_n	n
alba_n	f
albesius_n	4
albici_n	*
albina_n	2
albingaunum_n	n
albinouanus_n	m
albintimilium_n	n
albinus_n	*
albis_n	m
albius_n	*
albruna_n	f
albucilla_n	2
albucius_n	*
albula_n	f
album	n
albunea_n	f
alburnus_n	m
alcaeus_n	*
alcander_n	m
alcanor_n	m
alcathous_n	m
alcedonia	n
alces	m
alcesimus_n	m
alcestis_n	*
alcibiades_n	m
alcides_n	m
alcides_n	m
alcimedon_n	m
alcinous_n	m
alcis_n	???
alcmaeus_n	???
alcmena_n	f
alcmene_n	f
alcon_n	m
alcyon	f
alcyoneum	n
alea	m
aleator	m
alebria	n
alec	n
aleo	m
alesia_n	f
ales_1	f
ales_n	f
aletrinates_n	???
aleuas_n	m
alexander_n	m
alexandrea_n	f
alexandria_n	f
alexandrini_n	???
alexa_n	m
alexis_n	m
alfenus_n	*
alfius_n	*
alga	f
algidus_n	*
algor	m
algus	m
aliacmon_n	m
alica	f
alicula	f
alienatio	f
alienigena	m
alienum	n
alienus_1	*
alienus_n	*
alimentum	n
alimonium	n
alipilus	m
alison_n	???
allapsus	m
allec	
alledius_n	*
allegatio	f
alleuamentum	n
allex	n
alliaria_n	2
allia_n	f
allienus_n	*
allium	???
allius_n	*
allobroges_n	m
allobrogici_n	masculin
allobrogicus_n	*
allocutio	f
alloquium	n
almo_n	m
alnus	f
alogia	f
aloidae_n	f
alpes_n	f
alphesiboea_n	f
alphesiboeus_n	m
alpheus_n	*
alpinius_n	*
alpini_n	*
alpinus_n	*
alpis_n	???
alsiense_n	neutre
alsus_n	m
altar	
altare	n
altercatio	f
althaea_n	f
altilis_1	*
altinates_n	m
altinum_n	n
altinus_n	*
altitudo	f
altor	m
altrix	f
altum	n
aluarium	n
alucinatio	f
alueolus	m
alueus	m
alumna	f
alumnus_1	m
aluntini_n	masculin
aluntium_n	n
aluta_1	f
aluta_2	f
aluus	???
alyattes_n	m
amalthea_n	f
amandatio	f
amans_1	m
amantia_n	f
amantini_n	*
amanus_n	m
amara	f
amaracinum	n
amaracus	m
amarantus	m
amarities	f
